AM 9:30,剛起床 自家床上
nil,我緩緩睜開雙眼
nil,我感受到血液在慢慢留回我的身體
nil,有些疲倦 手還舉不太起來
nil,我看了看手機
nil,離鬧鈴響還有五分鐘
nil,在鬧鈴響之前起床
nil,這種事情並不常見
nil,我知道我剛剛做了個夢
nil,不過夢的細節 有點想不起來
nil,我爬起身子
nil,發現枕頭已經濕了，看來我還有些盜汗
nil,不過卻覺得莫名的神清氣爽
nil,我用著比平常悠閒的步調
nil,開始準備上學,162
nil,我突然從床上跳起
nil,我感受到
nil,原來是夢嗎
nil,我看了看牆上的時鐘
nil,離正常起床時間
nil,還有三個小時
我,該怎麼,nil,繼續睡覺,23,乾脆直接起床,29
nil,這弔詭的疲倦感
nil,感覺腦裡灌了水泥般
nil,沈重地讓人無法呼吸
nil,我任由地心引力讓我的頭回歸枕頭的懷抱
nil,剛剛做了什麼夢
nil,就隨它去吧......
nil,剛剛夢境給予我的感覺實在太真實
nil,我忍住洪水般的睡意
nil,一鼓作氣的離開了床舖
nil,有幾秒身體不像自己的
nil,我嘗試恢復平衡後
nil,思考這麼早起床要幹麻
nil,nil,nil,打遊戲,36,去外頭閒晃,85,直接去上課,162
nil,左思右想
nil,總覺得這麼早起床不玩遊戲要做什麼
nil,我打開了遊戲，看到了工會裡還有幾個人在線上
nil,不知道他們是打了通宵，還是跟我一樣早起
nil,不過我想答案淺而易見
nil,我戴上了耳機，進到了收悉的語音聊天室
我,呦！這麼早就在奮發向上阿
幻夜,誒，這不是春泥哥嗎？
幻夜,這麼早起噢，還是說還沒睡，如果沒睡剛剛怎麼不上線？
我,沒啦我剛起床
艾瑪,誒！！！？現在起床，你今天有要做什麼事情嗎？
幻夜,對啊，沒事這麼早起幹嘛
我,沒什麼，就突然有點想要聽聽大家的聲音，上來碰碰運氣
幻夜,痾，有點噁心，雖然說我們都已經五年多了，但是聽到這句話還是有些噁心
艾瑪,剛剛那是告白嗎？
我,雖然不知道你是從哪裡覺得這是告白，反正我就只是剛好起床，想說沒事情就上線
幻夜,聽起來非常可疑，先不管這個了，我們這個副本快刷完了，你下一場要加嗎？
我,可啊，不然我上線做什麼，閒逛？
艾瑪,那你趕快準備個吧，我先想辦法踢掉隊伍裡的一個人
幻夜,欸你要大概要打多久，我在決掉要打什麼副本
nil,nil,nil,只玩一下，然後去上課,57,直接翹課,63
我,我大概打兩場副本，我等等還有課，你們今天沒課嗎？
幻夜,我噢，我下午才有課，而且是廢課，應該是不會去上
艾瑪,我這學期課超級滿耶～今天是早十，所以我其實也只能在打幾場
幻夜,大一真的是好青春洋溢，不過依照你這個睡眠時間去了也是沒有用啦
艾瑪,吼呦～我還沒有從暑假脫離出來嘛
我,欸我準備好了，隨時都可以出發
nil,今天是早十
nil,不知道會不會點名
nil,要不要去上課呢？
nil,學校究竟有什麼是值得我留戀的
nil,又或者說
nil,為什麼我還會活在這個世界上呢？
nil,我知道我在這個世界上的定位
nil,不過是一把多功能的扳手罷了
nil,一把扳手
nil,需要去學校嗎？
X,「香氣芬芳呢！」
我,住嘴！
艾瑪,痾......蛤？
幻月,突然間怎麼著你，我們有很大聲嗎？
我,抱歉，我剛剛在跟siri講話，我不小心按到它
幻月,你也對妳手機太兇了吧，到時候它整天當機給你看
艾瑪,春泥，即使你再沒有朋友，還有我們阿，不用跟手機做朋友啊
我,沒啦，誰跟手機做朋友，我只是有一點起床氣
我,欸我今天沒課，我可以打一整天，來吧
幻月,哦？看來今天有望能推倒新副本了呢
艾瑪,聽起來很振奮人心，那等等我先回去換些裝備
幻月,搞不好我們「貘」能夠成為第一個推倒這個副本的工會呢
nil,不知道哪來的想法，想去外頭走走
nil,買個早餐什麼的也好
nil,我刷個牙洗個臉帶著錢包，就往外頭走去
nil,因為還沒到上班時間，路上車流有些稀疏
nil,空氣並不是這麼的污穢，感覺有些治癒了我方才的疲倦
nil,就在我快要漫步到早餐店前的時候
nil,我看見了一名女子聽著音樂徐徐走來
nil,她看起來也是要來買早餐
nil,心中有些鼓動，果然早起就是有些好處
女子,我要一份起司蛋餅跟大冰奶
nil,我的心臟漏了一拍 這個聲音
nil,「欸幹，超噁心的耶，不知道他幾天洗一次澡」
nil,為什麼這裡會有高中同學
nil,我記得他原本不住在這裡啊
nil,怎麼辦
我,我要一個卡啦雞腿堡跟薯餅蛋餅跟大杯鮮奶茶
nil,在我還沒思考完之前
nil,我肚子卻不爭氣的先點了餐
nil,講完後我馬上遙望遠方
nil,祈禱著她不會認出我
nil,馬的怎麼可能，世界上這種體型的人又不多
nil,啊～剛剛真的應該掉頭就走的
nil,在我視線的餘光瞟倒她往我這方向看來
nil,雖然裝的正定，但卻難掩驚訝之情
nil,nil,nil,繼續遙望遠方,110,與她眼神交集,117
nil,我決定直接裝傻到他買完早餐，她似乎領悟到了我的意思
nil,等到拿到早餐之後就默默地帶回耳機轉身離開
nil,我感覺有什麼東西從我手的縫隙間流走
nil,老闆似乎叫了我許多次我才回過神來
nil,摁，至少卡啦雞跟薯餅蛋餅不會從我指縫間流走
nil,我往她離開的方向望去，或許埋藏的記憶
nil,永遠不要挖開得好
nil,我慢慢把頭轉回去，盯著她那黑眼圈有些深的眼眸
nil,還是如同當年，睫毛短短的，一單一雙的眼皮顯得有些大小眼
nil,當我看得出神，她似乎無法忽略掉我溫度略高的視線
女0,痾......嗨
nil,她打破了僵局，從口中硬擠出了一點音
我,嗨，你住在附近？
女0,呵呵，對啊，上大學搬過來的
nil,我猜她心裡可能正覺得應該是倒了八輩子的楣才會搬到我家附近
nil,既然話題開了，我想要就此問個清楚
我,你現在，還是覺得我很噁心嗎？
nil,這壓抑於我心中多年，我不知道我這個問句的意義為何
nil,我如同想要獲得救贖一般，問出了這個問句
nil,當初是走過走廊時，無意間聽到了這句話
nil,也是在那一刻起，我才感知到整個班級對我的觀感
nil,與她對話的人馬上用眼神打了暗號
nil,而她轉頭的那一刻，眼神與我交會
nil,她開口的第一句話也是
nil,「痾......嗨」
nil,只不過事隔了許多年
女0,其實上了大學之後，我一直在思考著
女0,班上這樣對你，什麼時候才會遭到天譴
女0,要不要一起吃個早餐
nil,這大概是人生少數的邀約，這個氣氛之下我沒有理由拒絕
我,老闆，我們兩個人的早餐可以改內用嗎？
AM 7:00,早餐店內
nil,在服務生把最後一份餐點放到桌上之後
女0,抱歉，我從小聽霸凌這個詞到大，卻沒有發現我身處於其中
女0,我沒有惡意，只是旁邊的人跟我這樣抱怨的時候，我只好跟著附和
我,沒有惡意，你真的知道什麼是惡意嗎？
女0,我現在無論對誰，都會平等對待，我已經反省過了
我,你這樣根本只是強迫自己罷了，你心中根本還是一樣的看不起那些人
女0,那我應該怎麼辦！醜陋的事物就是醜陋
nil,我低下了頭，我不知道該怎麼反駁這一句
nil,一視同仁，這件事情究竟是怎麼辦到的
nil,是不是如同他所說的，只能強壓自己心中的想法，戴上博愛的面具
